,LACode,LAName,English region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,Cluster_5,geography,UnpaidCare_person_per,LimitedAlot_person_per,NoCentralHeating_per_hh,HouseholdSize_hh,AverageRooms_hh,SocialRent_hh_per,PrivateRent_hh_per,Ethnicity_per,Deprivation_hh_per
117,E07000098,Hertsmere,East of England,13.6,12.3,8,8.2,7.3,6.69,8.5,9,7.6,10.57,4,4,3,3,2,1,3,4,2,3,2,Hertsmere,9.851945897,6.752906599,1.463120318,2.5,5.4,17.42671829,12.52199708,14.96336136,3.793554226
83,E07000063,Lewes,South East,13.3,12.2,7.2,7.7,8.2,8.48,8.8,8.8,8,7.07,4,4,2,2,3,3,3,3,2,2,2,Lewes,11.79565547,8.688026912,2.278276949,2.3,5.5,10.92672056,14.48045328,3.428647617,4.046845736
126,E07000110,Maidstone,South East,12.5,10.8,7.9,7.8,8.1,9.69,8.8,8.5,8,7.74,3,3,3,3,2,4,3,3,2,2,2,Maidstone,10.03010126,6.871080229,2.211294466,2.4,5.6,12.71297303,14.58855423,5.895850925,3.921383202
94,E07000074,Maldon,East of England,15.3,14.3,7.9,8.3,9.1,8.47,9,9,10.7,12.13,5,5,3,3,4,3,3,4,7,5,2,Maldon,11.61952977,7.629525061,2.43637913,2.4,6.1,10.40012395,9.656427935,1.947135277,3.823062323
118,E07000099,North Hertfordshire,East of England,13.9,12.1,8.4,8.2,8,7.34,8.5,8.8,7.8,12.11,4,4,4,3,2,1,3,3,2,5,2,North Hertfordshire,10.07363469,6.30693708,1.671470819,2.4,5.6,19.28648972,13.08913263,10.50946395,3.170740838
300,E09000027,Richmond upon Thames,London,10,9.5,7.6,7.7,9.5,7.38,6.9,9.4,9.9,10.61,1,2,3,2,5,1,1,4,5,3,2,Richmond upon Thames,8.45071929,4.886357559,2.574058997,2.3,5.2,12.58971629,21.84505543,14.04620568,3.148994802
185,E07000176,Rushcliffe,East Midlands,14.8,16.9,11.5,8.7,8.6,9.98,10,7.7,8.8,9.86,4,7,8,4,3,4,5,2,3,3,2,Rushcliffe,10.61019176,6.78490763,1.411585033,2.4,6.2,8.408421512,13.26933566,6.861395315,2.299552744
178,E07000169,Selby,Yorkshire and the Humber,14.9,14.6,7,6.9,9.4,9.17,8.8,7.1,8.3,13.19,4,5,2,1,4,3,3,1,3,6,2,Selby,10.51540462,7.213986986,1.866373448,2.4,5.9,12.04027894,10.98411412,1.644117964,3.249515322
127,E07000111,Sevenoaks,South East,11.9,11.2,7.9,7.7,8.7,7.97,8.2,8.2,7.3,6.67,3,3,3,2,3,2,2,2,2,1,2,Sevenoaks,10.39662991,6.283237447,1.811994896,2.4,6,13.22415993,10.75499787,4.233504217,3.075287112
58,E07000012,South Cambridgeshire,East of England,12.8,12.4,7.3,7.1,7.9,7.24,8,8,8.3,10.31,3,4,2,1,2,1,2,2,3,3,2,South Cambridgeshire,10.07764445,5.560149239,1.514342895,2.4,6.2,14.25283522,11.9646431,6.700951229,2.136424283
170,E07000155,South Northamptonshire,East Midlands,13.5,15.4,10.1,8.1,9.5,10.32,9,6.8,9.7,10.49,4,6,6,3,5,5,3,1,5,3,2,South Northamptonshire,10.27480074,5.750742467,1.797390328,2.4,6.3,10.09591843,11.06086355,3.071992863,2.082553216
141,E07000126,South Ribble,North West,16.6,14.9,7.9,7.9,7.8,9.93,10.5,9.5,9.3,10.75,6,5,3,3,2,4,5,5,4,3,2,South Ribble,11.45456046,8.460713205,3.101817709,2.3,5.8,10.50930545,9.344496985,2.943414911,3.700490217
301,E09000028,Southwark,London,9.2,7.3,6.4,8,8.9,8.75,8.8,9.1,9.9,14.64,1,1,1,3,4,3,3,4,5,7,2,Southwark,7.18911625,6.583114509,3.241932537,2.3,4.2,43.71626447,23.66095896,45.76544576,8.539137367
234,E07000240,St. Albans,East of England,13.4,12.5,8,7.9,7.2,6.59,7.8,8.3,6.9,9.29,4,4,3,3,2,1,1,3,1,2,2,St Albans,9.50776318,5.414320651,1.353758461,2.5,5.8,12.16957606,13.58033488,11.57652278,2.499109369
128,E07000113,Swale,South East,13.2,11,8.3,8.8,8.7,10.28,10,9.8,9.2,9.09,4,3,3,4,3,5,4,5,4,2,2,Swale,10.49655832,8.644311113,2.874876316,2.4,5.5,14.28802735,15.19474678,3.445356499,6.194117118
27,E06000030,Swindon,South West,11.7,10,7.6,9.8,9.8,8.98,8.8,9.1,6.8,9.63,3,2,3,5,5,3,3,4,1,2,2,Swindon,9.313622368,6.998603913,2.180851064,2.4,5.4,16.27659574,16.03553644,10.16370556,4.799683115
103,E07000083,Tewkesbury,South West,12.7,12.7,7.5,9.1,9.4,8.52,8.4,8.8,7.4,8.38,3,4,2,4,4,3,2,3,2,2,2,Tewkesbury,10.64398423,6.919444004,2.690314866,2.3,5.9,11.92848602,12.38683596,2.49197613,2.878209873
119,E07000102,Three Rivers,East of England,14.1,12.7,8.4,8,7.1,6.36,8.1,8.8,7.4,10.69,4,4,4,3,1,1,2,3,2,3,2,Three Rivers,10.14120962,6.186653229,1.509627435,2.5,5.7,15.14754472,10.56169534,13.76936908,3.375299077
31,E06000034,Thurrock,East of England,14.3,10.6,7.5,8.7,7.4,6.76,8.6,9.1,8.7,13.36,4,3,2,4,2,1,3,4,3,6,2,Thurrock,9.261596018,7.229320567,2.662261639,2.5,5.1,18.44819014,14.06828861,14.125107,5.765560599
131,E07000116,Tunbridge Wells,South East,13.2,12.7,9.2,8.6,9.8,9.7,9.5,9,8.5,8.14,4,4,5,4,5,4,4,4,3,2,2,Tunbridge Wells,9.16044468,6.060026597,2.545893925,2.4,5.7,15.15241447,16.94789503,5.050022164,3.739347946
7,E06000007,Warrington,North West,16.7,14.3,8.3,8,8.4,9.83,10.1,9.8,9.1,11.57,6,5,3,3,3,4,5,5,4,4,2,Warrington,10.80117491,8.376683743,2.243363871,2.3,5.6,15.64247122,11.21564482,4.072630892,4.750998356
120,E07000103,Watford,East of England,15.2,12.3,10.3,10.2,8.6,7.98,10.3,10.2,8.5,13.73,5,4,6,6,3,2,5,6,3,6,2,Watford,8.927918849,6.056411335,2.663504267,2.4,5,16.32180148,20.094872,28.07831585,4.672718846
214,E07000216,Waverley,South East,12.1,11.8,7.8,7.4,7.8,7.85,8.3,8,6.8,6.21,3,4,3,2,2,2,2,2,1,1,2,Waverley,9.874806699,5.744743855,1.195211039,2.4,6.2,12.31331169,11.31696429,3.993518244,2.319399351
85,E07000065,Wealden,South East,15.2,14.8,7.8,7.4,8,8.53,8.5,8.3,8.5,6.7,5,5,3,2,2,3,3,3,3,1,2,Wealden,11.20572138,7.331699292,1.991192801,2.3,6.1,7.671197907,11.12547067,2.512842897,2.761822707
235,E07000241,Welwyn Hatfield,East of England,13.8,11.3,8.7,8.6,8,7.38,9.2,9.9,8.3,12.01,4,3,4,4,2,1,3,5,3,5,2,Welwyn Hatfield,9.381643823,6.264079251,1.123518217,2.4,5.5,26.92087222,13.55329833,15.92165377,3.521885676
50,E06000054,Wiltshire UA,South West,12.8,12.7,7.9,10,12.6,11.76,9,9.3,8.2,9.82,3,4,3,6,9,7,3,4,3,3,2,Wiltshire,10.10826339,6.668634191,2.101506741,2.4,6,14.72290596,15.43199069,3.399287869,3.196803197
227,E07000229,Worthing,South East,13.1,11.8,7.8,8.3,8.1,9.19,9.3,9,7.9,8.2,3,4,3,3,3,3,4,4,2,2,2,Worthing,10.39659786,8.897171254,3.54136553,2.2,5.1,9.980018706,19.34784457,6.21559633,4.986820849
202,E07000200,Babergh,East of England,18.3,17.2,9.1,8.9,10.3,9.62,9.8,9.9,11,13.42,7,7,4,4,6,4,4,5,7,6,3,Babergh,11.07362662,7.217916572,2.060124727,2.3,6,13.09098662,12.5632962,2.159790289,2.888971803
276,E09000003,Barnet,London,11.3,10.6,9.7,9.7,10.1,9.2,9.7,12.4,11.8,13.23,2,3,5,5,5,3,4,9,9,6,3,Barnet,9.06881864,6.586959084,2.171929721,2.6,5.1,14.22496248,25.64377998,35.86925412,5.60419671
253,E08000016,Barnsley,Yorkshire and the Humber,20.3,18.4,9.7,9.2,11.3,11.34,12.2,10.7,9.7,18.64,8,8,5,5,7,6,8,6,5,10,3,Barnsley,11.74936533,12.60568893,0.925208966,2.3,5.3,20.87874998,12.76232454,2.134754196,7.770961145
51,E06000055,Bedford,East of England,15.1,13.7,9.9,10.1,9.2,8.47,10.1,11.1,10.1,13.92,5,5,5,6,4,3,5,7,6,6,3,Bedford,10.21342528,7.099994285,2.016862032,2.4,5.7,16.06594371,15.84341503,19.45211743,4.644894377
23,E06000023,"Bristol, City of",South West,15,13.6,11.1,13.2,13.6,12.85,10.8,11.7,9.8,13.76,5,5,7,10,10,9,6,8,5,6,3,"Bristol, City of",9.37291294,8.072689231,2.838350288,2.3,5,20.29198838,23.54511976,16.0290869,6.385330539
228,E07000234,Bromsgrove,West Midlands,17.7,14.4,10.9,9.8,9.1,10.58,10,9,8.4,11.67,6,5,7,5,4,5,4,4,3,4,3,Bromsgrove,11.96215171,8.100430385,1.663619744,2.4,6.2,9.973883521,8.801253591,4.208806348,2.940715592
181,E07000172,Broxtowe,East Midlands,16.5,16.9,12,9.7,9.1,11.9,11.8,8.6,9.6,12.35,6,7,8,5,4,7,7,3,5,5,3,Broxtowe,11.2186835,8.653082101,1.768475011,2.3,5.6,11.14480991,14.0837249,7.260222675,4.066638189
194,E07000192,Cannock Chase,West Midlands,19,13.9,11.1,10.2,9.1,10.51,12.5,10.8,9.9,16.06,7,5,7,6,4,5,8,6,5,9,3,Cannock Chase,12.12472553,10.38763826,1.603383828,2.4,5.5,16.91914224,12.14341924,2.263446266,6.0299036
122,E07000106,Canterbury,South East,14,12.7,8.9,9.4,9.3,10.92,10.6,10.6,10.1,8.72,4,4,4,5,4,6,5,6,6,2,3,Canterbury,10.30996725,8.221906117,2.186898356,2.3,5.5,12.19167037,19.54221586,6.963511859,4.40999819
145,E07000130,Charnwood,East Midlands,15.7,16.3,12.6,9.7,8.9,12.51,10.8,8.8,10.1,11.83,5,6,9,5,4,8,6,3,6,4,3,Charnwood,10.31125828,6.708609272,1.943893199,2.4,5.7,11.80317518,14.12592459,12.6345575,3.566059294
45,E06000049,Cheshire East UA,North West,18.2,17.1,9.5,8.8,10.1,10.01,10.8,10.5,9.8,10.89,7,7,5,4,5,4,6,6,5,4,3,Cheshire East,10.80791188,7.890805048,2.284857722,2.3,5.9,11.37787646,12.50493913,3.292653603,3.566836635
46,E06000050,Cheshire West and Chester UA and Chester UA,North West,17.7,16.1,9.4,8.9,10,10.14,11.3,10.9,10.6,11.96,6,6,5,4,5,5,7,7,7,5,3,Cheshire West and Chester,11.26216597,8.828062426,2.113233693,2.3,5.8,14.71133044,12.53800144,2.60400233,4.593402243
165,E07000150,Corby,East Midlands,16.2,13.6,9.6,8,8.2,11.46,10.5,8.1,8.9,13.84,5,5,5,3,3,7,5,2,4,6,3,Corby,9.873479716,8.876010122,1.054927622,2.4,5.4,20.93198493,15.22506445,4.466574157,6.559587547
99,E07000079,Cotswold,South West,16.4,17.2,9.7,11.1,14.5,13.7,9.2,10.2,9.5,10.12,6,7,5,8,10,9,3,6,4,3,3,Cotswold,10.55730505,6.535876739,2.213268573,2.2,6.1,14.86919086,15.2279501,2.179027763,2.411966001
281,E09000008,Dacorum,East of England,13.4,11.3,8.8,9.9,9.7,10.04,10.7,11.5,11.2,10.98,4,3,4,6,5,4,6,8,8,4,3,Croydon,9.269410916,6.709266934,2.874284532,2.5,5.1,17.85187228,21.01372319,44.90723159,5.869250397
166,E07000151,Derby,East Midlands,18.9,18.9,10.6,8.5,10.6,10.61,9.6,7.4,10.2,15.58,7,9,6,4,6,5,4,1,6,8,3,Daventry,10.85903678,6.570918387,1.933832591,2.4,6.2,13.94128985,12.10857269,3.49421271,2.938667172
254,E08000017,Dover,South East,15.3,13.3,10,9.8,11.6,11.32,12.1,10.8,9.6,9.9,5,4,6,6,8,6,8,6,5,3,3,Doncaster,11.03299581,11.12558779,1.447579593,2.3,5.5,17.7117016,14.84263205,4.740709387,7.025227889
124,E07000108,Dudley,West Midlands,20.9,15.3,9.3,9.5,9.8,10.76,9.9,10.1,10.1,16.93,9,6,5,5,5,5,4,5,6,10,3,Dover,11.33119616,9.71846625,2.423928793,2.3,5.4,14.20823846,17.08548955,3.32037896,5.410888015
73,E07000040,East Devon,South West,17.4,18.2,9.1,11,11.3,10.49,9.6,10.3,9.7,9.47,6,8,4,8,7,5,4,6,5,2,3,East Devon,11.96161773,8.919120922,3.873305006,2.2,5.8,9.336222512,13.6124325,1.592969794,3.126745781
167,E07000152,East Northamptonshire,East Midlands,14.8,15.8,11,8.8,9.6,11.66,10.3,7.8,9.9,12.52,4,6,7,4,5,7,5,2,5,5,3,East Northamptonshire,10.29447358,6.886417334,1.923616174,2.4,6,13.28304638,12.53715439,3.368869936,3.488306881
11,E06000011,East Riding of Yorkshire,Yorkshire and the Humber,18.1,17.6,8.3,8.2,10.1,10.16,9.7,8.5,9.4,13.95,7,8,3,3,5,5,4,3,4,6,3,East Riding of Yorkshire,11.18203119,8.686661939,2.321158902,2.3,5.9,9.108451256,13.73678617,1.912148878,3.543263046
100,E07000080,Forest of Dean,South West,18.7,18,9.5,11.6,14.1,13.32,10.8,10.9,11.7,12.74,7,8,5,8,10,9,6,7,8,5,3,Forest of Dean,11.79585413,8.863971889,2.479000205,2.3,5.9,12.40085463,11.22428074,1.539756714,4.129715808
182,E07000173,Gedling,East Midlands,16.2,16.6,11,9.1,8.7,11.43,11,8.3,9.4,11.49,5,7,7,4,3,6,6,3,4,4,3,Gedling,11.83868666,8.794905895,1.651502563,2.3,5.6,9.981965187,13.14717623,6.946267053,4.263510912
125,E07000109,Gravesham,South East,12.7,10.1,8.9,9.6,9.1,10.82,10.1,10.1,8.8,9.4,3,3,4,5,4,6,5,5,3,2,3,Gravesham,10.13566654,7.66417617,2.480769706,2.5,5.3,17.3332344,16.13613317,17.19819111,5.84947194
284,E09000011,Greenwich,London,11.3,9.3,8.3,9.2,9.9,9.2,10,11.3,11.1,16.66,2,2,3,5,5,3,4,7,8,9,3,Greenwich,8.647964896,7.470625439,2.415755357,2.5,4.6,34.30352813,19.7971201,37.53776168,8.071651244
285,E09000012,Hackney,London,10.5,8.6,8.1,9.4,10.5,9.82,10.2,11.9,12.2,16.47,2,1,3,5,6,4,5,8,9,9,3,Hackney,7.287936005,7.335038779,3.012095585,2.4,4.1,43.69161176,28.95958305,45.33763755,10.68738322
6,E06000006,Halton,North West,18.1,14.9,9.2,9.2,9.7,10.77,12.8,11.8,10.9,14.03,7,5,5,5,5,5,9,8,7,7,3,Halton,11.94312344,11.57571613,2.892406963,2.3,5.4,25.21195978,9.776410564,2.151161866,8.200780312
173,E07000164,Hambleton,Yorkshire and the Humber,19.4,20.6,9.1,8.6,13.2,10.66,9.4,8.3,9.5,14.17,8,10,4,4,9,5,4,3,5,7,3,Hambleton,11.2227956,7.101189141,2.051578036,2.3,6.2,12.91549702,15.13760264,1.688355396,2.479208752
174,E07000165,Harrogate,Yorkshire and the Humber,17.3,18.2,9.1,8.6,11.7,10.39,9.4,8.2,8.3,12.87,6,8,4,4,8,5,4,2,3,5,3,Harrogate,10.25407141,6.644749761,2.580059254,2.3,5.9,9.138144084,17.52445324,3.670131565,2.73935893
290,E09000017,Hillingdon,London,11.2,9.6,9.1,9.3,9.1,9.63,10,11.5,10.1,13.83,2,2,4,5,4,4,4,8,6,6,3,Hillingdon,9.4565884,6.563941943,1.990739817,2.7,5,16.71622727,18.10226116,39.39058758,5.612988205
43,E06000046,Isle of Wight,South East,16,14.9,9.5,10,8.9,10.58,11.3,11,11.2,8.87,5,5,5,6,4,5,7,7,8,2,3,Isle of Wight,11.87574585,10.32365385,5.117459278,2.2,5.5,10.67856266,17.41671441,2.690485662,5.454694278
292,E09000019,Islington,London,10.4,8.1,7.4,8.6,11.1,9.76,8.4,10.4,11,14.76,2,1,2,4,7,4,2,6,7,7,3,Islington,7.913159491,8.025227411,2.528966608,2.1,4,42.05181923,26.95390996,31.83020012,9.658386421
168,E07000153,Kettering,East Midlands,16.5,16.7,11.9,9.5,9.4,12.43,10.8,8.5,9.5,12.82,6,7,8,5,4,8,6,3,5,5,3,Kettering,10.42203798,7.666220915,2.209012367,2.3,5.6,13.06516209,15.2338732,6.135330302,4.314752777
161,E07000146,King's Lynn and West Norfolk,East of England,21.4,18.5,9.2,8.8,10.8,10.1,11,10.7,12.2,16.96,9,8,5,4,7,5,6,6,9,10,3,King's Lynn and West Norfolk,11.80866864,9.783589125,2.224621687,2.3,5.8,13.32708767,14.73236261,2.741249635,5.097098941
294,E09000021,Kingston upon Thames,London,9.9,9.1,8.9,9.4,10,9.37,9.3,10.9,10.4,12.39,1,2,4,5,5,4,4,7,6,5,3,Kingston upon Thames,8.301886792,5.376108959,3.053159226,2.5,5.2,11.78836877,22.48935401,25.51605648,3.749273244
296,E09000023,Lewisham,London,11.2,9.1,8,10,10.5,10.2,10.7,10.9,12.1,18.23,2,2,3,6,6,5,6,7,9,10,3,Lewisham,8.163183935,7.076499266,3.256066362,2.4,4.5,31.05494827,24.30507102,46.46827482,7.722390194
196,E07000194,Lichfield,West Midlands,17.4,14.3,10.9,9.8,9.5,10.95,10.8,9.4,9.1,12.52,6,5,7,6,5,6,6,5,4,5,3,Lichfield,11.49383035,8.23514217,1.622841063,2.4,6,13.21075102,9.538133126,3.233850617,3.655637493
32,E06000035,Medway,South East,12.3,9.9,8.6,9.8,9.2,11.46,10.1,10.3,9,8.9,3,2,4,6,4,7,5,6,4,2,3,Medway,9.484891541,7.476745287,3.178638345,2.4,5.4,13.17779096,17.09177188,10.36127688,5.7659897
148,E07000133,Melton,East Midlands,16.6,18.1,12.3,9.5,11,12.82,11,8.3,10.6,12.46,6,8,9,5,7,9,6,3,7,5,3,Melton,10.46728601,6.282753692,2.266170312,2.3,6.1,11.17729176,14.21126105,2.098221375,2.815262913
75,E07000042,Mid Devon,South West,18.6,18.5,10.5,12.8,14.4,13.63,11,11.2,11,11.54,7,9,6,9,10,9,6,7,7,4,3,Mid Devon,10.87073955,7.449517685,5.57421088,2.3,5.9,12.62287075,15.54124183,1.35562701,4.008181208
71,E07000038,North East Derbyshire,East Midlands,18.6,18.6,11.9,9,8.7,11.05,11.4,8.4,10.4,13.5,7,9,8,4,3,6,7,3,6,6,3,North East Derbyshire,13.26459509,10.69852459,1.05409798,2.3,5.6,20.38774089,7.390294869,1.958130939,4.717901091
154,E07000139,North Kesteven,East Midlands,16.4,17.7,9.8,7.7,9.1,10.28,10.5,7.3,10.4,11.91,6,8,5,2,4,5,5,1,6,4,3,North Kesteven,11.31432919,8.451645231,1.281214652,2.3,6.1,10.21056295,13.45166623,1.791845294,2.801705386
13,E06000013,North Lincolnshire,Yorkshire and the Humber,18.5,17.3,8.6,8.2,10.2,10.85,11.1,9.1,9.8,16.09,7,8,4,3,6,6,6,4,5,9,3,North Lincolnshire,10.84349581,9.156981952,1.257710373,2.3,5.8,15.41367212,13.40756041,4.000095553,4.718182333
258,E08000022,North Tyneside,North East,19,16.7,9.7,9.9,9.9,11.13,11.2,9.3,7.6,12.91,7,7,5,6,5,6,7,4,2,5,3,North Tyneside,11.05970588,10.08261911,1.452434416,2.2,5.3,21.55320664,12.37745769,3.374485187,5.573142012
149,E07000134,North West Leicestershire,East Midlands,16.8,16.9,11.5,9,10,11.31,10.7,7.9,9.8,12.84,6,7,8,4,5,6,6,2,5,5,3,North West Leicestershire,11.40176317,8.384687808,1.339194439,2.4,5.9,14.30689021,11.273257,2.440407412,3.882130444
169,E07000154,Northampton,East Midlands,16.2,15.4,11.8,10.3,9.4,12.88,10.8,8.5,8.7,12.57,5,6,8,7,4,9,6,3,3,5,3,Northampton,9.281413125,7.155689893,2.526738119,2.3,5.3,17.03237876,17.82578806,15.48128204,5.591056113
217,E07000219,Nuneaton and Bedworth,West Midlands,19.5,13.9,11.9,11.1,9.8,11.25,12,10.8,9.6,16.05,8,5,8,8,5,6,8,6,5,9,3,Nuneaton and Bedworth,11.36269281,9.482483314,2.126690824,2.4,5.4,14.4808484,12.67856804,8.670520231,5.803342756
28,E06000031,Peterborough,East of England,15.6,12.6,9.6,9.7,8.5,7.75,10.6,11.4,9.5,15.21,5,4,5,5,3,2,5,7,5,8,3,Peterborough,9.63344969,7.652847286,1.54681653,2.5,5.4,19.4993448,19.13999703,17.47362918,6.149440039
230,E07000236,Redditch,West Midlands,16.5,11.9,10.4,9.7,9,10.46,10.6,9.3,8.3,14.59,6,4,6,5,4,5,6,4,3,7,3,Redditch,10.5552521,7.983233192,1.503369622,2.4,5.5,21.17101549,11.68999482,7.976108486,5.535395427
139,E07000124,Ribble Valley,North West,20,19.9,9.8,9.4,11.6,10.63,10,10.2,11.1,11.7,8,10,5,5,8,5,4,6,8,4,3,Ribble Valley,11.4489253,7.134355528,2.320648784,2.3,6,7.635683094,13.63277189,2.149408388,2.77812435
