"","LAName","LACode","English region","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","x2010","x2011","x2012","x2013","x2014","x2015","x2016","x2017","x2018","x2019","clustering4","clustering5","clustering6","clustering7","clustering8"
"1","Wokingham","E06000041","South East",0.08,0.07,5.6,6.2,6.1,7.07,7.1,6.7,5.4,4.67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2","Hart","E07000089","South East",0.08,0.07,5.5,6.1,6.3,7.51,7,6.7,5.5,4.77,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
"3","Surrey Heath","E07000214","South East",0.09,0.08,6.2,6.6,6.6,7.64,7.7,7.2,5.6,5.08,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
"4","Elmbridge","E07000207","South East",0.1,0.1,7.4,7,7.3,6.31,7.8,7.7,5.8,5.29,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1
"5","Bracknell Forest","E06000036","South East",0.07,0.06,4.9,5.6,5.8,6.94,6.5,5.8,5.2,5.35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6","Fareham","E07000087","South East",0.1,0.08,5.2,5.9,5.6,7.55,7.2,6.8,5.9,5.35,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
"7","Mid Sussex","E07000228","South East",0.11,0.1,6.7,6.9,7.6,8.06,7.8,7.5,6.5,5.78,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1
"8","Tandridge","E07000215","South East",0.12,0.11,7.5,7,7,7.59,7.9,7.6,6.5,5.87,2,3,2,1,1,2,1,1,1,1,1,1,1,1,1
"9","Windsor and Maidenhead","E06000040","South East",0.1,0.09,7.4,7.6,8.2,8.19,8.1,7.8,6.1,5.91,1,1,2,2,3,2,2,2,1,1,1,1,1,1,1
"10","Woking","E07000217","South East",0.09,0.08,6.8,6.9,6.6,7.74,8,7.5,6.1,5.96,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1
"11","East Hampshire","E07000085","South East",0.11,0.1,6.6,6.5,7.2,7.75,7.5,7.2,7,5.97,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1
"12","Horsham","E07000227","South East",0.1,0.1,6.8,6.8,7.6,7.66,7.6,7.3,7.2,5.98,1,2,2,1,2,2,1,1,2,1,1,1,1,1,1
"13","Eastleigh","E07000086","South East",0.09,0.08,5.8,6.4,6.1,8.19,7.8,7.2,6.3,6.04,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
"14","Reigate and Banstead","E07000211","South East",0.1,0.09,6.9,7,7.2,7.52,7.9,7.4,6,6.13,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1
"15","Mole Valley","E07000210","South East",0.12,0.12,7.7,7.3,7.6,7.68,8.1,7.9,6.8,6.16,2,3,3,2,2,2,2,2,1,1,1,1,1,1,1
"16","New Forest","E07000091","South East",0.13,0.12,6.6,6.9,6.8,8.14,8.5,8,7.6,6.16,3,3,1,1,1,2,2,2,2,1,1,1,1,1,1
"17","Waverley","E07000216","South East",0.12,0.12,7.8,7.4,7.8,7.85,8.3,8,6.8,6.21,2,4,3,2,2,2,2,2,1,1,1,1,1,1,1
"18","Basingstoke and Deane","E07000084","South East",0.08,0.07,5.7,5.9,6.9,7.89,7.1,6.5,6.1,6.27,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
"19","Runnymede","E07000212","South East",0.1,0.09,7.3,7.6,7.5,8.27,8.1,7.8,6.4,6.27,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1
"20","West Berkshire","E06000037","South East",0.1,0.09,6.6,6.6,8.3,8.39,7.5,7.2,6.6,6.29,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1
"21","Milton Keynes","E06000042","South East",0.08,0.06,5.4,6.3,6,7.93,7.5,6.9,5.9,6.33,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
"22","City of London","E09000001","London",0.05,0.03,2.4,3.9,5.7,4.85,4.9,4.2,5.5,6.36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"23","South Oxfordshire","E07000179","South East",0.11,0.1,7.1,7.4,8.3,8.52,7.9,7.7,7.3,6.4,2,2,2,2,3,3,1,1,2,1,1,1,1,1,1
"24","Test Valley","E07000093","South East",0.1,0.09,6.6,6.6,8.4,8.31,7.6,7.3,6.9,6.43,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1
"25","Epsom and Ewell","E07000208","South East",0.11,0.1,8,7.9,7.4,7.53,8.5,7.7,6.6,6.47,2,2,3,3,2,2,2,2,1,1,1,1,1,1,1
"26","Vale of White Horse","E07000180","South East",0.11,0.1,6.9,7.1,8,8.36,7.9,7.4,6.9,6.49,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1
"27","Winchester","E07000094","South East",0.11,0.11,7.6,7.5,8.6,8.66,8.4,8.1,7.8,6.54,2,3,2,2,3,3,2,2,2,1,1,1,1,1,1
"28","Spelthorne","E07000213","South East",0.11,0.09,6.4,7.1,7,7.68,7.5,7.1,6,6.6,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1
"29","Sevenoaks","E07000111","South East",0.12,0.11,7.9,7.7,8.7,7.97,8.2,8.2,7.3,6.67,2,3,3,2,3,2,2,2,2,1,1,1,1,1,1
"30","Wealden","E07000065","South East",0.15,0.15,7.8,7.4,8,8.53,8.5,8.3,8.5,6.7,4,5,3,2,2,3,2,2,3,1,2,2,2,2,2
"31","West Oxfordshire","E07000181","South East",0.11,0.1,6.9,6.9,8.5,8.67,7.6,7.3,7.4,6.85,2,2,2,1,3,3,1,1,2,1,1,1,1,1,1
"32","Guildford","E07000209","South East",0.11,0.1,8,7.8,8,8.96,9.1,8.5,7.1,6.86,2,2,3,3,2,3,3,3,1,2,1,1,1,1,1
"33","Tonbridge and Malling","E07000115","South East",0.1,0.09,7.2,7.3,7.5,8.31,8.1,7.9,7.3,6.95,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1
"34","Lewes","E07000063","South East",0.13,0.12,7.2,7.7,8.2,8.48,8.8,8.8,8,7.07,3,4,2,2,3,3,3,3,2,2,2,2,2,2,2
"35","Arun","E07000224","South East",0.13,0.12,6.7,7.5,7.2,8.83,8.8,8.6,7.9,7.17,3,4,1,2,1,3,3,3,2,2,2,2,2,2,2
"36","Cherwell","E07000177","South East",0.1,0.08,6.6,7.2,8.3,9.27,8,7.8,7.4,7.22,1,1,1,1,3,3,2,2,2,2,1,1,1,1,1
"37","Havant","E07000090","South East",0.12,0.1,6.7,7.4,6.8,9.04,9,8.6,7.8,7.45,3,2,1,2,1,3,3,3,2,2,2,2,2,2,2
"38","Crawley","E07000163","South East",0.08,0.06,11.3,10.7,13.6,12.54,10.4,9.4,10.6,7.46,1,1,7,7,10,8,5,4,7,2,2,2,3,3,3
"39","Dartford","E06000005","South East",0.11,0.09,11.8,12.5,12.6,14.08,13.7,12.2,9,7.47,2,1,8,9,9,10,9,9,4,2,3,3,4,4,4
"40","Chichester","E07000225","South East",0.15,0.14,8.7,8.3,9.5,9.34,9.3,9.3,9.5,7.54,4,4,4,3,4,4,3,4,4,2,2,2,2,2,2
"41","Ashford","E07000105","South East",0.12,0.11,7.6,7.6,8.3,9.46,8.9,8.4,8.5,7.64,3,3,3,2,3,4,3,3,3,2,2,2,2,2,2
"42","Gosport","E07000088","South East",0.11,0.09,6.7,7.6,7.6,9.75,8.5,8.2,7.2,7.7,2,1,1,2,2,4,2,2,2,2,1,1,1,1,1
"43","Rushmoor","E07000092","South East",0.09,0.07,6.6,7,7.1,9.03,8,7.5,6.4,7.71,1,1,1,1,1,3,2,1,1,2,1,1,1,1,1
"44","Maidstone","E07000110","South East",0.13,0.11,7.9,7.8,8.1,9.69,8.8,8.5,8,7.74,3,3,3,3,2,4,3,3,2,2,2,2,2,2,2
"45","Adur","E07000223","South East",0.14,0.11,6.8,7.3,6.8,8.63,8.5,8.5,7.7,7.77,4,3,2,2,1,3,2,3,2,2,2,2,2,2,2
"46","South Gloucestershire","E06000025","South West",0.11,0.1,6.7,9.1,9.5,8.76,7.5,8.2,6.7,7.97,2,2,1,4,4,3,1,2,1,2,1,1,1,1,1
"47","Tunbridge Wells","E07000116","South East",0.13,0.13,9.2,8.6,9.8,9.7,9.5,9,8.5,8.14,3,4,5,4,5,4,4,4,3,2,2,2,2,2,2
"48","Worthing","E07000229","South East",0.13,0.12,7.8,8.3,8.1,9.19,9.3,9,7.9,8.2,3,4,3,3,2,3,3,4,2,2,2,2,2,2,2
"49","Tewkesbury","E07000083","South West",0.13,0.13,7.5,9.1,9.4,8.52,8.4,8.8,7.4,8.38,3,4,2,4,4,3,2,3,2,2,2,2,2,2,2
"50","Eastbourne","E07000061","South East",0.13,0.11,7.9,8.5,8.6,9.52,9.4,9.7,8.5,8.47,3,3,3,3,3,4,4,5,3,2,2,2,2,2,2
"51","Rother","E07000064","South East",0.18,0.17,8.8,8.9,9,9.36,9.9,9.8,10.6,8.63,6,7,4,4,4,4,4,5,7,2,4,4,5,5,5
"52","Canterbury","E07000106","South East",0.14,0.13,8.9,9.4,9.3,10.92,10.6,10.6,10.1,8.72,4,4,4,5,4,6,5,6,6,2,4,4,5,5,5
"53","Isle of Wight","E06000046","South East",0.16,0.15,9.5,10,8.9,10.58,11.3,11,11.2,8.87,5,5,5,6,4,5,7,7,8,2,4,4,5,5,5
"54","Medway","E06000035","South East",0.12,0.1,8.6,9.8,9.2,11.46,10.1,10.3,9,8.9,3,2,4,5,4,7,5,6,4,2,2,2,2,2,2
"55","Swale","E07000113","South East",0.13,0.11,8.3,8.8,8.7,10.28,10,9.8,9.2,9.09,3,3,3,4,3,5,4,5,4,2,2,2,2,2,2
"56","St. Albans","E07000240","East of England",0.13,0.13,8,7.9,7.2,6.59,7.8,8.3,6.9,9.29,3,4,3,3,1,1,1,3,1,2,1,1,1,1,1
"57","Slough","E06000039","South East",0.1,0.08,10,10.1,8.2,12.7,11,10.1,8.9,9.33,1,1,6,6,3,8,6,5,3,2,2,2,3,3,3
"58","Gravesham","E07000109","South East",0.13,0.1,8.9,9.6,9.1,10.82,10.1,10.1,8.8,9.4,3,2,4,5,4,6,5,5,3,2,2,2,2,2,2
"59","South Hams","E07000044","South West",0.18,0.2,10.2,12.2,13.2,12.41,10.1,11.2,10.8,9.44,6,9,6,9,9,8,5,7,7,2,4,4,5,6,6
"60","East Devon","E07000040","South West",0.17,0.18,9.1,11,11.3,10.49,9.6,10.3,9.7,9.47,6,8,4,8,7,5,4,6,5,2,4,4,5,5,5
"61","Swindon","E06000030","South West",0.12,0.1,7.6,9.8,9.8,8.98,8.8,9.1,6.8,9.63,3,2,3,5,5,3,3,4,1,2,2,2,3,3,3
"62","Blaby","E07000129","East Midlands",0.14,0.14,9.6,8,7.2,10.02,9.1,7,8.4,9.66,4,5,5,3,2,4,3,1,3,2,2,2,2,2,2
"63","Harborough","E07000131","East Midlands",0.15,0.17,10.6,7.9,8.4,9.9,8.8,6.9,8.9,9.67,4,7,6,3,3,4,3,1,4,3,2,2,2,2,2
"64","Wiltshire UA","E06000054","South West",0.13,0.13,7.9,10,12.6,11.76,9,9.3,8.2,9.82,3,4,3,6,9,7,3,4,2,3,2,2,2,2,2
"65","Oxford","E07000178","South East",0.13,0.11,12.4,11.9,11.9,12.83,11.9,11.7,10.5,9.85,3,3,9,9,8,9,8,8,6,3,3,5,6,7,7
"66","Rushcliffe","E07000176","East Midlands",0.15,0.17,11.5,8.7,8.6,9.98,10,7.7,8.8,9.86,4,7,8,4,3,4,4,2,3,3,2,2,2,2,2
"67","Dover","E08000017","South East",0.15,0.13,10,9.8,11.6,11.32,12.1,10.8,9.6,9.9,4,4,6,6,8,6,8,6,5,3,4,4,5,6,6
"68","Teignbridge","E07000045","South West",0.16,0.17,9.3,11.8,11.7,10.87,10.5,10.9,9.6,9.9,5,7,5,9,8,6,5,7,5,3,4,4,5,6,6
"69","Rochford","E07000075","East of England",0.15,0.13,6.5,7.2,6.2,5.48,7.6,8.6,8.5,10,4,4,1,1,1,1,1,3,3,3,1,1,1,1,1
"70","Cotswold","E07000079","South West",0.16,0.17,9.7,11.1,14.5,13.7,9.2,10.2,9.5,10.12,5,7,5,8,10,9,3,6,4,3,4,4,5,6,6
"71","Brentwood","E07000068","East of England",0.15,0.14,7.7,7.7,7,6.26,8.1,8.4,7.5,10.15,5,5,3,2,1,1,2,3,2,3,2,2,2,2,2
"72","Stroud","E07000082","South West",0.16,0.16,9.2,10.6,11.1,10.39,9.4,9.9,8.8,10.16,5,6,5,7,7,5,4,5,3,3,4,4,5,5,5
"73","Oadby and Wigston","E07000135","East Midlands",0.16,0.16,11.9,9.6,8.2,11.98,9.6,8.2,8.9,10.2,5,6,8,5,3,7,4,2,4,3,4,4,5,6,6
"74","Bath and North East Somerset","E06000022","South West",0.14,0.14,9.5,12.1,13.2,12.39,9.6,10.9,9.1,10.25,4,5,5,9,9,8,4,7,4,3,4,4,5,6,6
"75","Reading","E06000038","South East",0.12,0.1,10.7,11.2,10.8,13.86,11.9,10.9,9,10.3,3,2,6,8,7,9,8,7,4,3,4,4,5,6,6
"76","South Cambridgeshire","E07000012","East of England",0.13,0.12,7.3,7.1,7.9,7.24,8,8,8.3,10.31,3,4,2,1,2,1,2,2,3,3,1,1,1,1,1
"77","East Hertfordshire","E07000242","East of England",0.13,0.12,7.5,7.3,7.5,6.9,7.6,7.8,7.3,10.4,3,4,2,2,2,1,1,2,2,3,1,1,1,1,1
"78","Gloucester","E07000081","South West",0.14,0.12,8.8,10.7,9.6,8.8,9.4,10.3,7.9,10.42,4,4,4,7,5,3,4,6,2,3,4,4,5,5,5
"79","Brighton and Hove","E06000043","South East",0.14,0.12,10.7,11.9,12.3,12.7,11.4,11.7,11.2,10.48,4,4,6,9,9,8,7,8,8,3,4,4,5,6,6
"80","South Northamptonshire","E07000155","East Midlands",0.14,0.15,10.1,8.1,9.5,10.32,9,6.8,9.7,10.49,4,5,6,3,5,5,3,1,5,3,2,2,2,2,2
"81","Mendip","E07000187","South West",0.16,0.16,9.1,11.2,12.4,11.62,9.9,10.7,9.4,10.52,5,6,4,8,9,7,4,6,4,3,4,4,5,6,6
"82","Torbay","E06000027","South West",0.16,0.16,9.8,12.8,11.6,10.82,10.8,12.6,10,10.54,5,6,5,9,8,6,6,9,5,3,4,4,5,6,6
"83","Thanet","E07000114","South East",0.17,0.15,10.1,10.3,10.1,11.28,11.4,12.3,10.7,10.55,6,5,6,7,5,6,7,9,7,3,4,4,5,6,6
"84","Broxbourne","E07000095","East of England",0.13,0.1,6.3,7.5,6.6,5.99,7.4,8.1,7.5,10.56,3,2,1,2,1,1,1,2,2,3,1,1,1,1,1
"85","Hertsmere","E07000098","East of England",0.14,0.12,8,8.2,7.3,6.69,8.5,9,7.6,10.57,4,4,3,3,2,1,3,4,2,3,2,2,2,2,2
"86","Chelmsford","E07000070","East of England",0.13,0.12,7.2,7.4,6.9,6.17,7.9,8.1,7.9,10.59,3,4,2,2,1,1,2,2,2,3,1,1,1,1,1
"87","Richmond upon Thames","E09000027","London",0.1,0.1,7.6,7.7,9.5,7.38,6.9,9.4,9.9,10.61,1,2,3,2,5,1,1,4,5,3,2,2,3,3,3
"88","Three Rivers","E07000102","East of England",0.14,0.13,8.4,8,7.1,6.36,8.1,8.8,7.4,10.69,4,4,4,3,1,1,2,3,2,3,2,2,2,2,2
"89","Portsmouth","E06000044","South East",0.13,0.1,10.7,12.3,11.8,14.46,12.3,12.1,10.8,10.71,3,2,6,9,8,10,8,8,7,3,4,4,5,6,6
"90","Southampton","E06000045","South East",0.12,0.1,10.1,10.3,9.8,12.44,11.6,11.5,10.4,10.71,3,2,6,7,5,8,7,8,6,3,4,4,5,6,6
"91","South Ribble","E07000126","North West",0.17,0.15,7.9,7.9,7.8,9.93,10.5,9.5,9.3,10.75,6,5,3,3,2,4,5,5,4,3,2,2,3,3,3
"92","Hastings","E07000062","South East",0.15,0.13,10.8,11.8,11.8,11.34,11.8,13.3,11.5,10.79,5,4,7,9,8,6,7,9,8,3,4,4,5,6,6
"93","Sedgemoor","E07000188","South West",0.16,0.15,8.7,11,12,11.24,10.5,10.8,9.6,10.82,5,5,4,8,8,6,5,6,5,3,4,4,5,6,6
"94","Cheshire East UA","E06000049","North West",0.18,0.17,9.5,8.8,10.1,10.01,10.8,10.5,9.8,10.89,6,7,5,4,5,4,6,6,5,4,4,4,5,5,5
"95","Dacorum","E09000008","East of England",0.13,0.11,8.8,9.9,9.7,10.04,10.7,11.5,11.2,10.98,4,3,4,6,5,4,6,8,8,4,4,4,5,5,5
"96","Cheltenham","E07000078","South West",0.13,0.13,8.9,11,11.4,10.6,9.6,10.4,8.1,11,4,4,4,8,8,5,4,6,2,4,4,4,5,5,5
"97","South Somerset","E07000189","South West",0.16,0.16,9.2,11.2,13,12.17,10.2,10.5,10,11.01,5,6,5,8,9,7,5,6,5,4,4,4,5,6,6
"98","Fylde","E07000119","North West",0.18,0.18,8.1,8.1,8.8,8.54,9.7,10.2,9.7,11.19,6,8,3,3,3,3,4,6,5,4,2,2,3,3,3
"99","Daventry","E07000107","East Midlands",0.14,0.16,7.1,7.5,7.2,8.68,8.2,7.7,6.8,11.23,4,6,2,2,2,3,2,2,1,4,2,2,2,2,2
"100","Epping Forest","E07000072","East of England",0.16,0.14,8.2,8.3,7.8,7.15,8.1,9,8.2,11.26,5,5,3,3,2,1,2,4,3,4,2,2,2,2,2
"101","Huntingdonshire","E07000011","East of England",0.11,0.1,6.3,7,6.7,6.09,8.3,8.1,8.4,11.35,2,2,1,1,1,1,2,2,3,4,1,1,1,1,1
"102","Broadland","E07000144","East of England",0.16,0.15,6.7,7.1,7.2,6.57,8.9,8.8,9.5,11.39,5,5,1,1,2,1,3,3,4,4,2,2,3,3,3
"103","Hinckley and Bosworth","E07000132","East Midlands",0.15,0.16,10.7,8.6,8.6,11.21,10.1,7.6,9,11.43,5,6,6,4,3,6,5,1,4,4,4,4,5,5,5
"104","Castle Point","E07000069","East of England",0.17,0.14,6.6,7.6,6.4,5.64,9.3,10,9,11.44,6,5,1,2,1,1,3,5,4,4,2,2,3,3,3
"105","Cornwall UA","E06000052","South West",0.19,0.19,11.4,14.4,14.9,14.15,12.8,13.2,12.6,11.47,7,8,7,10,10,10,9,9,9,4,3,3,4,4,4
